Test #,Build #,Category,Test Case,Expected Result,Actual Result,Repeatable?,Blocker?,Test Owner
2,2024-03-19 00:00:00,Login/UI/Game/Tutorials,Bug: Search feature doesn't function properly in tutorial,"When I go to the search bar in the tutorial, I was expecting the search to filter out the results by the one I am looking for","When I searched a tutorial, It didn't return any filtered results and the screen just remained the same as it did when I arrived at the screen.",Yes,Yes,Omar Garcia
3,2024-03-19 00:00:00,Login/UI/Game,Bug: The delete (x) button doesn't work anywhere,"When I type something in the search bar for tutorial or to find friends, I expect that when I hit the delete (x) button,it would clear my entry in the search bar","When I actually press the delete (x) button, it does not anything.",Yes,Yes,Omar Garcia
1,2024-03-19 00:00:00,Game,"Bug: Adventure mode does not seem to be working, can enter the UI but once loaded, nothing works",Start a battle,UI buttons not working,Yes,Yes,Ryan Kao
1,2024-03-18 00:00:00,Adventure page,Could not go back when clicking button,Going back to main page when clicking back button,"Nothing happened, had to reload the game and log back in",Yes,No,Angeles Montalvo
2,2024-03-18 00:00:00,Deck builder Editor,Up and down arrows don’t work in editor,Moving down the lists by using the arrows,"Arrows did not work, just the bar",Yes,No,Angeles Montalvo
3,2024-03-18 00:00:00,Enders gate leaderboard,Overlapping text,Seeing all the stats for my account at the bottom of the leaderboard,Some of the text was overlapping with another part of the text which made it hard to read my stats,Yes,No,Angeles Montalvo
3,2024-03-19 00:00:00,Login/News,User Case: clicking latest news or latest update does nothing,Open up a tab with past news or patch updates,Nothing happens,Yes,Yes,Jorge Enriquez
1,2024-03-08 00:00:00,Login,Bug: Does not log in with email.,To enter the game.,Stuck in “Login with email..”,Yes,Yes,Angel Venegas
2,2024-03-08 00:00:00,Game,Bug: Adventure Mode not working.,Expected to play a match.,Could not play a match.,Yes,Yes,Angel Venegas
1,2024-03-19 00:00:00,Tutorial,Tutorial Does Not Load,Tutorial to pop up,Went to black screen and froze,Yes,Yes,Anthony Daulo
2,2024-03-19 00:00:00,Tutorial,Skips Enemy AI Actions,Full animation of enemy actions plays out,Skips through animations and can only view aftermath of game actions,Yes,No,Anthony Daulo
2,2024-03-05 00:00:00,Game,User: Latency indicator blocking GUI elements,Latency indicator owns its own spot on the page,Latency indicator covering GUI elements,Yes,Yes,Grigor Azakian
3,2024-03-05 00:00:00,Login,Bug: Game times out and logs me out within one minute,Logout timer lasts for a longer period of time,Logout timer logs me out very quickly,Yes,Yes,Grigor Azakian
0,2024-02-27 00:00:00,Main Page,"Click add friend icon, then press back icon to return to main page",Be returned to main page once friend added,"Upon pressing the back icon to return to main page, the game would freeze and would have to log in again.",Yes,Yes,Andrew Gabriel
1,2024-02-27 00:00:00,Game,Playing tutorial,Instruct us how to play as a beginner,Got kicked out the game mid tutorial,Yes,Yes,Andrew Gabriel
2,2024-03-05 00:00:00,Game,Following along the tutorial,Go through the tutorial and complete the tasks step by step that Luna gives,"Would not register that I completed the task and would get stuck the being instructed what to do unless I press ""exit tutorial""",Yes,no,Andrew Gabriel
3,2024-03-05 00:00:00,Game,Playing in arena,Play with other opponent in arena,In the middle of the game was sent back to the login page,Yes,Yes,Andrew Gabriel
4,2024-03-05 00:00:00,Main Page,"Click on either arena, adventure, tutorials, nft shops, settings",register on click,"The game would not register that I'm pressing one of the options. Once it finally registered for arena button would not let me click ""cancel""",Yes,Yes,Andrew Gabriel
5,2024-03-12 00:00:00,Main Page,"Upon pressing settings, pressing ""X"" should exit back to list of options in main page",exit settings,"pressing the ""X"" does nothing and have to press cancel to exit",Yes,no,Andrew Gabriel
6,2024-03-12 00:00:00,Game,Allow me to follow along in tutorial and complete tasks that Luna assigns,Complete the tasks Luna assigns,Luna asked to use phase selector to swtich to main phase 2 but it isn't registering,Yes,no,Andrew Gabriel
7,2024-03-12 00:00:00,Main Page,Go to Adventure in the main page and play,"Play in adventure after pressing ""Play""","""Play"" button is not registering and nothing is popping up",Yes,no,Andrew Gabriel
8,2024-03-18 00:00:00,Game,Playing tutorial,Be able to follow along the tutorial,"The game would not go further if I press ""End Turn"", had to exit tutorial",Yes,no,Andrew Gabriel
9,2024-03-18 00:00:00,Main Page,Click on Adventure and exit out of it,Be able to click on adventure and then exit out by pressing the back button or home button,None of the buttons registered had to refresh the game and sign in again,Yes,Yes,Andrew Gabriel
1,2024-03-19 00:00:00,Main Page,Close Settings Box,Pressing X closes box,Nothing,Yes,No,Jack Konyan
2,2024-03-19 00:00:00,Adventure,Loads mission name,Mission name is shown,Generic Mission name,Yes,No,Jack Konyan
3,2024-03-19 00:00:00,Adventure,Mission objectives,Loads mission objectives,No objectives shown,Yes,No,Jack Konyan
4,2024-03-19 00:00:00,Adventure,Play Mission,Mission Starts,Mission does not start,Yes,No,Jack Konyan
0,2024-03-19 00:00:00,Game,User Case: Blurred game elements & text towards edges of game screen during battle.,Be able to clearly see all elements & text anywhere on-screen.,There appears to be a strong blur effect implemented towards the edges of the screen during battle mode.,Yes,No,Svarun Soda
2,2024-03-19 00:00:00,Login,Bug: Always being asked to double-verify email before logging in.,Be automatically authenticated if logging in with same PC many times.,"Asked to verify email twice upon every login, even if immediately consecutive.",Yes,No,Svarun Soda
1,2024-03-19 00:00:00,Login,Window Resize did not fit to vertical Window,Resize to vertical screen,Did not resize,Yes,No,Javier Torres
2,2024-03-19 00:00:00,Main menu,"On main page I selected ""settings"" before I closed the Ultraman promotion and now I cant close the settings tab using the ""X""","Able to close out the game using the ""X"" button on the top right corner of the window",Cannot close settings menu without hitting Cancel,Yes,No,Javier Torres
3,2024-03-19 00:00:00,Adventure Menu,"Clicking on anything does not work when I entered ""Adventure"" Mode, I cannot back out of this window either.","Working ""Play"" buttons, be able to back out of ""Adventure Mode"". Nothing happens.","Nothing happens aside from when you select a mission, a window pops up but when you try to ""play"" nothing happens.",Yes,No,Javier Torres
0,2024-03-19 00:00:00,5HeadGames/Login/EndersGate/Login,Ex user case: game did not log me in,Game launches properly after logging in from the 5 Head Games Launcher,"Receive the following error in a popup box : “screen.orientation.lock is not a function. (In ‘screen.orientation.lock(type)', 'screen.orientation.lock' is undefined)”",Yes,Yes,Narek Karapetyan
1,2024-03-19 00:00:00,EndersGate/MyPacks/Swap Your Collab pass/FAQ,Ex bug: FAQ link takes me to FAQ,FAQ displayed on the screen,"Receive the following error: “An error has occurred while switching chain, please try again.”",Yes,No,Narek Karapetyan
2,2024-03-19 00:00:00,EndersGate/Card Gallery,Ex bug: My owned cards come up as 0 in my card gallery,I have a 1 under the cards I own,Cards show zero owned,Yes,No,Narek Karapetyan
1,2024-03-13 00:00:00,Adventure/Home (house figure),Click to go back to the main page and nothing happen,Go back to the main page,Nothing happen,Yes,Yes,Sayra Reyes
2,2024-03-13 00:00:00,Home Page/Adventure/Deck Builder,Click on deck builder but nothing happen,Go to the Deck Builder,Same nothing happen,Yes,Yes,Sayra Reyes
3,2024-03-14 00:00:00,Home Page/Edit Profile/Player Frame,When I click on player frame nothing happen,To appear a player frame,Nothing happen,Yes,Yes,Sayra Reyes
4,2024-03-14 00:00:00,Home Page/Edit Profile/Player Title,When I click on player title nothing happen,To show the player title,"Same thing, nothing happen",Yes,Yes,Sayra Reyes
5,2024-03-14 00:00:00,Home Page/Edit Profile/Player Banner,Click on player banner and nothing happen,Show player banner (I don’t know what is that),Nothing happen,Yes,Yes,Sayra Reyes
1,2024-03-12 00:00:00,Main Page,Player Icon,The white outline should move as the player selects the icon,"The white outline was delayed when moving to select the icon, it is a bit laggy",Yes,No,Jainivash Korisal
2,2024-03-12 00:00:00,Main Page,Settings,Open and close Setting when pressed the X on the top right,Opened Settings but unable to close it using the X on the top right and the game automatiically restarted to login page,Yes,No,Jainivash Korisal
4,2024-03-12 00:00:00,Game,Game,The timer should count down duing the oppenets turn,The timer stuck at 63 during turn 8 main 1,Yes,Yes,Jainivash Korisal
1,2024-03-17 00:00:00,Login,User case: OAthu takes wat too long with 4 different window pop-ups and email.,Less than 10 seconds to log back in,35ish seconds to login,Yes,No,Mohammad Asim Sheikh
2,2024-03-17 00:00:00,Login,Bug: Gives this error after OAth: TypeError: screen.orientation.lock is not a function,Begin gamplay,Error message,Yes,Yes,Mohammad Asim Sheikh
3,2024-03-17 00:00:00,Game,User case: Reached Max capacity,Begin gameplay,"Users maxed out, tried again 10 minutes later, but same result.",Yes,Yes,Mohammad Asim Sheikh
1,2024-03-17 00:00:00,Main Page,"Game will still
 not let user return
 to home page if
 clicking on adventure
 tab","Game allows
 user to return to
 home page","Game forces
 you to stay on
 adventure page",Yes,Yes,Joey Kaz
2,2024-03-17 00:00:00,Main Page,"Matchmaking takes 
 too long if only able
 to play the AI","Should be instant
 matchmaking 
 when playing AI","Takes too long
 to AI matchmake",Yes,No,Joey Kaz
2,2024-03-17 00:00:00,Login,Login queue,login and let me play the game,login queue please try again 10 mintues,Yes,Yes,Joshua alvarado
1,"Use date you 
 tested on
 3/17/2024",UI,I noticed that there is no logout botton in the game. Once im signed in how do i logout,Logout page to log the user out,No logout button found!,Yes,yes,Salman Khan
1,2024-03-16 00:00:00,Login,when clicking get started I was immediately sent straight in with no way of logging in,Expected to be able to sign up when I press the sign in button,No page to get started,Yes,No,Sarkis Shil-Gevorkyan
2,2024-03-16 00:00:00,Game,No tutorial or intstruction,Some from of tutorial or even a help option,None at all,Yes,No,Sarkis Shil-Gevorkyan
3,2024-03-17 00:00:00,Game,Rewards shop takes me back to the start page,To show the actual reward shop,Sent back to start page,Yes,No,Sarkis Shil-Gevorkyan
Test #1,2024-03-17 00:00:00,Graphics,Ran the game graphics look better,Game to choppy and laggy,Smooth graphics/game looks much better,Yes,No,Alex Kevorkian
Test #1,2024-03-17 00:00:00,Adventure Mode Gameplay,Tried playing the kingdom,Use the power to play,couldnÕt play the adventure mode and game froze,Yes,No,Alex Kevorkian
Test #1,2024-03-17 00:00:00,Arena,Draw phase,Don tlike how its only draw one,Drew one per turn makes the game slower/less action,Yes,No,Alex Kevorkian
1,2024-03-11 00:00:00,Main Menu | Building Your First Deck Tutorial,"User begins playing the ""Building Your First Deck"" tutorial. User is still on the main menu screen.","User can clearly see the ""Deck Builder"" button in the menu.","Luna's picture is visually blocking the ""Deck Builder"" button in the menu. The button is still clickable nevertheless. See picture attached.",Yes,No,Yana Zaynullina
2,2024-03-11 00:00:00,Deck Builder | Building Your First Deck Tutorial,"User begins playing the ""Building Your First Deck"" tutorial. User is now on the Deck Builder screen for the first time.",The blue highlight shape covers the area of the + button correctly.,"The blue highlight shape is off, it doesn't cover the area of the + button correctly. See picture attached.",Yes,No,Yana Zaynullina
3,2024-03-11 00:00:00,New Deck Builder | Building Your First Deck Tutorial,"User begins playing the ""Building Your First Deck"" tutorial. User clicked on the + button to create a brand new deck.",User can use the up and down buttons on the scroll slider.,User cannot use the up and down buttons on the scroll slider because they are unclickable.,Yes,No,Yana Zaynullina
4,2024-03-11 00:00:00,New Deck Builder | Building Your First Deck Tutorial,"User begins playing the ""Building Your First Deck"" tutorial. User clicked on the + button to create a brand new deck.",The blue highlight shape covers the area to enter the new deck's name correctly.,"The blue highlight shape is off, doesn't cover the area to enter the new deck's name correctly. See picture attached.",Yes,No,Yana Zaynullina
5,2024-03-11 00:00:00,Edit User Profile,User opened a screen to edit their profile information.,"User sees error messages when options Player's Frame, Title, and Banner are clicked.","User doesn't see any error messages when options Player's Frame, Title, and Banner are clicked. Nothing happens.",Yes,No,Yana Zaynullina
0,2024-03-12 00:00:00,Deck Builder Tutorial,User Case: Deck Builder Tutorial Placeholder/highlight is not accurate if you have deck created,Properly highlight where to click,Highlight is offset slightly,Yes,No,Inderjit Singh
1,2024-03-12 00:00:00,Deck Builder,"Bug Case: The A-Z in deck builder does not put in alphabetical order, but rather organizes by Guardian cards and Action cards",Filter cards alphabetically,Filters cards by type,Yes,No,Inderjit Singh
2,2024-03-12 00:00:00,Deck Builder Tutorial,"Bug Case: In Deck Builder tutorial, cannot click X to go back and select cards. Forces you to click arrows to scroll past cards",Clicking X should leave the add screen and allow you to find cards that you want to select,Clicking X does nothing and is not responsive,Yes,No,Inderjit Singh
3,2024-03-12 00:00:00,Settings,Bug Case: The X widget in Settings is not responsive,Clicking X should exit us out of the settings menu,Clicking X does nothing and is not responsive,Yes,No,Inderjit Singh
4,2024-03-12 00:00:00,Adventure Mode,Bug Case: Cannot leave screen and clicks do not register,"Be able to play adventure mode or if not ready, be able to back out",User is stuck in the adventure mode screen and has to close the game to get out of Adventure Mode,Yes,Yes,Inderjit Singh
1,2024-03-12 00:00:00,Playing the game,Bug,"I expect that when I click ""Arena"" I am allowed to choose the cards to put down and play against my opponent","When I clicked ""Arena"", nothing happened. It showed me the ""boxes"" where I am supposed to put my cards, but there was no response when I clicked on anything",Yes,Yes,Mirna Farahat
2,2024-03-12 00:00:00,Reloading the page,User Case,"I expect that when I reload the page, it takes me bag to the main page so I can try accessing the game again","When I reload the page, I'm prompted to log in all over again to access the game.",Yes,No,Mirna Farahat
4,2024-03-12 00:00:00,Accessing game,User Case,"I expect that when I try to long in to the game, it takes a few seconds to authenticate","When I tried to authenticate using my email, it displayed ""Authenticating"" for about 4 minutes and still never took me to the game",Yes,Yes,Mirna Farahat
5,2024-03-12 00:00:00,Game stops responding,Bug,"I expect that when I'm in the middle of my game, I can continue playing until someone wins","Game stops responding, countdown stops, I am unable to click on anything.",Yes,Yes,Mirna Farahat
3,2024-03-12 00:00:00,Main Menu,"When clicked on setting, clicking X button on top right dosent work",To exit settings,Nothing happened,Yes,No,Artim Trofimenko
3,2024-03-12 00:00:00,Adventure Select,Clicking PLAY does nothing,To play the level,Nothing happened,Yes,Yes,Artim Trofimenko
3,2024-03-12 00:00:00,Adventure Select,Clicking Deck Builder does nothing,To build my deck,Nothing hapopened,Yes,No,Artim Trofimenko
0,2024-03-12 00:00:00,Arena,"Bug: The sentence that appears when you attempt to ""Activate"" a card doesn't seem like a complete sentence","I expected the sentence to be complete when it displays to the user if they click ""Activate"" out of turn","The sentence that displayed to the user when clicking the ""Activate"" option on a card out of turn says ""You can only activate or set cards in the "" and appears to be incomplete",Yes,No,Katrina Ortiz
1,2024-03-12 00:00:00,Arena,Bug: The Game History window is overlapped at the bottom by the total amount of coins available,I expected to be able to view the Game History window without anything overlapping it,The total coins element overlaps with the bottom of the Game History window and overlaps text that reaches the bottom of the window,Yes,No,Katrina Ortiz
2,2024-03-12 00:00:00,Arena,Bug: The slider Audio options in the Settings do not affect the volume,I expected the slider Audio options to adjust the respective volumes when changed,The slider Audio options did not adjust the volume when changed,Yes,No,Katrina Ortiz
3,2024-03-12 00:00:00,Arena,Bug: The volume option in the player chat box is clickable but cannot be changed,I expected the volume option in the player chat box to be able to be changed,The volume option in the player chat box is clickable but does not change,Yes,No,Katrina Ortiz
5,2024-03-12 00:00:00,Arena,Bug: The symbol that pops up at the beginning of the game seems to be incomplete,I expected the symbol that appears in the middle of the Arena page to look more complete,The symbol that appears in the middle of the Arena at the start of the game appears to be missing some elements,Yes,No,Katrina Ortiz
7,2024-03-12 00:00:00,Login Process,"Bug: If the login screen is left on without logging in for too long (approx 30 minutes to an 1 hour), then the authentication process will freeze and not continue)","I expected to be able to log in without issues, even if the login screen was left open","The login process got stuck on the authentication portion of the login process. A refresh allowed another attempt at the authentication process, which was successful",Yes,No,Katrina Ortiz
8,2024-03-12 00:00:00,Main Page,"Bug: I accidentally clicked on ""Adventure"" instead of ""Arena"" and was unable to get out of the Adventure page without a refresh",I expected to be able to back out of the Adventure page,I was only able to get out of the Adventure page with a refresh and was required to sign in again,Yes,Yes,Katrina Ortiz
9,2024-03-12 00:00:00,Arena,"Bug: If you click on an empty card space next to a ""Hired"" card that is in play, the options appear for the active card (Activate/Retire) that's next to it",I expected that the empty space next to an active card would not display any card options if clicked,The options for an active card appeared when the empty space was clicked next to the active card,Yes,No,Katrina Ortiz
1,2024-03-12 00:00:00,Login,Logging in Via Email,Log Successful,Stuck on this screen Image 1,Yes,No,Jack Konyan
0,2024-03-07 00:00:00,Game/Main Page,The return buttons does not respond after adventure select,Clicking the button should navigate the screen to main page.,Clicking on button does not result in any action.,Yes,Yes,Raymond Gharapeti Babayans
1,2024-03-12 00:00:00,UI,Bug: Adeventure mode,Play adventure mode,Nothing works/ can't go back to home page,Yes,Yes,Ramon
2,2024-03-12 00:00:00,Tutorial,Bug: Skipping Tutorial parts,Follow the tutorial,"Can bypass certain pieces of the tutorial because the hit box of the indicators are to big, can stop the tutorial from conitnuing",Yes,Yes,
1,2024-03-10 00:00:00,Create Deck,"After entering an arena and choosing a deck, it doesnt let you exit to choose another card.",Choose deck and play game,Screen got stuck on card,Yes,Yes,Heather Gardner
2,2024-03-11 00:00:00,Create Deck,"After entering an arena and choosing a deck, it doesnt let you exit to choose another card.",Choose deck and play game,Screen got stuck on card,Yes,Yes,Heather Gardner
3,2024-03-12 00:00:00,Create Deck,How to obtain button and related cards buttons do not work,Choose deck and play game,Screen got stuck on card,Yes,Yes,Heather Gardner
4,2024-03-12 00:00:00,Tutorial,It was my turn to play my character and the game froze and went back to the login page.,Gameplay for tutorial,Screen got stuck and looped back to login page,Yes,Yes,Heather Gardner
1,2024-03-10 00:00:00,Arena Game,Wrong player name and icon shown,To see my chosen username and my player icon,"It shows my default username ""0xb37…"" and the default player icon",Yes,No,Angeles Montalvo
2,2024-03-10 00:00:00,Arena Game,"When trying to activate or set an event card that is on the deck during ""Battle Phase"" I was expecting to see a message saying why this is not possible but the message was incomplete",To see the entire message on screen as to why the action was not possible,"The message was incomplete it said something like ""You can only activate or set event cards in the"" and that was it.",Yes,No,Angeles Montalvo
3,2024-03-10 00:00:00,Arena Game,Health/life bar of opponent is not visible after half of it is reduced,Seeing how much health the opponent had left,As the life of my opponent was decreasing the numbers started to disappear/blend with the black background making it impossible for me to know how much life they got left,Yes,No,Angeles Montalvo
4,2024-03-10 00:00:00,Arena Game,The timer froze on '71' after activating the event card of the arrows and only way to end game was to surrender. (This happened 2 times in different matches),Be taken back to main page and match not being counted as a Defeat or Victory,"Game froze on my opponent's turn, I was not able to do anything as it wasn't my turn so I had to surrender, which affected my score",Yes,No,Angeles Montalvo
5,2024-03-11 00:00:00,Arena Game,Being kicked out in the middle of the game back to the login page. (This has happened 4 times in different days),Finish match or be taken back to main page if an error occurred and have a message stating that an error occurred,Suddenly being taken back to login page,Yes,No,Angeles Montalvo
6,2024-03-11 00:00:00,Arena Game,"Being taken into the arena without an opponent, had to reload game as I couldn't go back to main page.","Seeing the opponent, my cards, the menu options on the left side and being able to play","The only thing showing was the arena, but nothing else, no cards, no opponent, no menu options, nothing. Therefore, the only way to go back to main page was by reloading the game and logging back in",Yes,No,Angeles Montalvo
1,2024-03-12 00:00:00,Game,"After staying in the deck builder page for over a minute, it will log you out and you will be unable to log back in until you close the page",Not to log me out,Logs me out,Yes,Yes,Jae Molina
3,2024-03-12 00:00:00,Login/Adventure,User Case: No way of going to main menu,Either back button or home button returns to main menu,User is soft locked in Adventure select,Yes,Yes,Jorge Enriquez
